Toshiba,"['Windows Phone IS12T', 'K01', 'TG02', 'TG01', 'G810', 'G910 / G920', 'G450', 'G710', 'G900', 'G500', 'TS605', 'TX80', 'TS32', 'TS705', 'TS608', 'TX62', '904T', '903T', '705T', 'TS921', 'TS808', 'TS803', 'TS10']"
Vodafone,"['Smart E8', 'Smart V8', 'Smart N8', 'Smart Turbo 7', 'Smart Platinum 7', 'Smart ultra 7', 'Smart prime 7', 'Smart first 7', 'Smart speed 6', 'Smart ultra 6', 'Smart prime 6', 'Smart first 6', 'Smart 4 max', 'Smart 4G', 'Smart 4 turbo', 'Smart 4 power', 'Smart 4', 'Smart 4 mini', 'Chat 655']"
Energizer,"['Hardcase H240S', 'Hardcase H550S', 'Power Max P600S', 'Power Max P550S', 'Energy S550', 'Energy S500E', 'Energy E520 LTE', 'Energy 400 LTE', 'Energy 100 (2017)', 'Energy E10', 'Energy E20', 'Energy 500', 'Energy 400', 'Energy 240', 'Energy 200', 'Energy 100']"
XOLO,"['Era 2X', 'Era 2', 'Era 1X', 'Era X', 'Era 4K', 'Era 4G', 'One HD', 'Black 3GB', 'Black 1X', 'Black', 'Era', 'Cube 5.0', 'Prime', 'LT2000', 'A1010', 'Win Q1000', '8X-1020', 'Q700 Club', 'Q520s', 'Q900s Plus', 'Omega 5.5', 'Omega 5.0', 'Opus 3', 'Q710s', 'Q1020', 'One', 'Q2100', 'Opus HD', 'Play 8X-1100', 'Q510s', 'Q700s plus', 'Q1000s plus', 'Q610s', 'A1000s', 'Play 8X-1200', 'Hive 8X-1000', 'A550S IPS', 'Q900s', 'Q500s IPS', 'A700s']"
Lava,"['Z90', 'Z80', 'Z60', 'A97 2GB+', 'A44', 'A77', 'Z25', 'Z10', 'X28 Plus', 'A73', 'X19', 'A55', 'A50', 'X50 Plus', 'X41 Plus', 'A51', 'A76+', 'A97', 'X28', 'P7+', 'A48', 'X38', 'A32', 'A68', 'X50', 'X17', 'X81', 'X46', 'A89', 'A82', 'A79', 'A59', 'A67', 'V2 s', 'V2 3GB', 'A76', 'A72', 'X11', 'A88', 'Iris Fuel F2']"
Micromax,"['Bharat 5 Plus', 'Bharat 5', 'Canvas Infinity Pro', 'Bharat 2 Ultra', 'Dual 4 E4816', 'Canvas Selfie 3 Q460', 'Bharat 4 Q440', 'Bharat 3 Q437', 'Bharat 2+', 'Selfie 2 Note Q4601', 'Canvas Infinity', 'Evok Dual Note E4815', 'Selfie 2 Q4311', 'Canvas 1', 'Canvas 2 Q4310', 'Canvas Evok Power Q4260', 'Canvas Evok Note E453', 'Bharat 2 Q402', 'Dual 5', 'Spark Vdeo Q415', 'Vdeo 5', 'Vdeo 4', 'Vdeo 3', 'Vdeo 2', 'Vdeo 1', 'Canvas Spark 4G Q4201', 'Canvas Fire 6 Q428', 'Canvas 5 Lite Q462', 'Bolt Q381', 'Canvas Mega 2 Q426', 'Canvas Spark 2 Plus Q350', 'Canvas Spark 3 Q385', 'Canvas Amaze 2 E457', 'Canvas xp 4G Q413', 'Bolt Supreme 2 Q301', 'Bolt Supreme Q300', 'Canvas Evok E483', 'Bolt Selfie Q424', 'Bolt supreme 4 Q352', 'Canvas Selfie 4']"
BLU,"['Vivo X', 'Studio J8M LTE', 'Vivo One', 'Studio View XL', 'Dash L5 LTE', 'Dash L4 LTE', 'Grand 5.5 HD II', 'Life One X3', 'R2 Plus', 'Studio G3', 'Grand M2 LTE', 'C5 LTE', 'Grand M2', 'C5', 'S1', 'Grand XL LTE', 'Studio Pro', 'Studio G Mini', 'Vivo 8', 'Studio J8', 'Studio J8 LTE', 'Grand Mini', 'R2 LTE', 'R2', 'Tank Xtreme Pro', 'Studio J1', 'Grand X LTE', 'Grand XL', 'Studio J2', 'Studio Mega', 'R1 Plus', 'Studio Selfie LTE', 'Life One X2 Mini', 'Dash L3', 'Advance 4.0 L3', 'Vivo XL2', 'Vivo 5 Mini', 'Grand Max']"
Gionee,"['S11S', 'S11', 'S11 lite', 'M7 Plus', 'M7 Power', 'M7', 'X1s', 'X1', 'P8 Max', 'A1 Lite', 'S10', 'S10B', 'S10C', 'M6s Plus', 'A1 Plus', 'A1', 'F5', 'M2017', 'Steel 2', 'P7', 'S9', 'P7 Max', 'F103 Pro', 'S6s', 'M6 Plus', 'M6', 'S6 Pro', 'P5 Mini', 'W909', 'S8', 'Marathon M5 mini', 'Marathon M5 enjoy', 'Marathon M5 Plus', 'Marathon M5 lite', 'Pioneer P5W', 'S6', 'Elife S Plus', 'F103', 'Elife E8', 'S5.1 Pro']"
vivo,"['V7', 'X20 Plus', 'X20 Plus UD', 'X20', 'V7+', 'Y69', 'Y53', 'X9s Plus', 'X9s', 'V5s', 'Y25', 'Y55s', 'V5 Lite', 'V5 Plus', 'Y67', 'Xplay6', 'X9 Plus', 'X9', 'V5', 'X7 Plus', 'X7', 'V3Max', 'V3', 'X6S Plus', 'X6S', 'Xplay5 Elite', 'Xplay5', 'Y51', 'X6', 'X6Plus', 'V1', 'Y15S', 'V1 Max', 'Y31', 'Y35', 'Y37', 'X5Max Platinum Edition', 'X5Pro', 'X5Max+', 'X5Max']"
LeEco,"['Le Pro 3 AI Edition', 'Le Pro3 Elite', 'Le S3', 'Le Pro3', 'Le Max 2', 'Le 2 Pro', 'Le 2', 'Le Max', 'Le 1s']"
Panasonic,"['P100', 'Eluga I9', 'Eluga C', 'P91', 'Eluga I5', 'Eluga A4', 'P99', 'Eluga I4', 'Eluga Ray 500', 'Eluga Ray 700', 'P9', 'Eluga I2 Activ', 'Eluga A3 Pro', 'Eluga A3', 'P55 Max', 'Eluga i3 Mega', 'P85', 'Eluga Ray', 'Eluga Mark 2', 'Eluga Ray X', 'Eluga Ray Max', 'Eluga Pulse X', 'Eluga Pulse', 'P88', 'P55 Novo']"
HP,"['Elite x3', 'Slate6 VoiceTab II', '7 VoiceTab', 'Slate7 VoiceTab Ultra', 'Slate7 VoiceTab', 'Slate6 VoiceTab', 'Veer 4G', 'Veer', 'Pre 3 CDMA', 'Pre 3', 'iPAQ Glisten', 'iPAQ Voice Messenger', 'iPAQ Data Messenger', 'iPAQ 910c', 'iPAQ 610c', 'iPAQ 514', 'iPAQ rw6815', 'iPAQ rw6828', 'iPAQ rw6818', 'iPAQ hw6915', 'iPAQ hw6910', 'iPAQ hw6515', 'iPAQ hw6510', 'iPAQ h6325', 'iPAQ h6320', 'iPAQ h6315']"
YU,"['Yureka 2', 'Yunique 2', 'Yureka Black', 'Yunique Plus', 'Yureka S', 'Yunicorn', 'Yureka Note', 'Yutopia', 'Yunique', 'Yuphoria', 'Yureka Plus', 'Yureka']"
verykool,"['s5200 Orion', 's5031 Bolt Turbo', 'sl5029 Bolt Pro LTE', 's5029 Bolt Pro', 's5205 Orion Pro', 's6005X Cyprus Pro', 's5527 Alpha Pro', 's5528 Cosmo', 'SL5565 Rocket', 's4009 Crystal', 's5526 Alpha', 's5034 Spear Jr.', 's5035 Spear', 's5028 Bolt', 's5027 Bolt Pro', 's5007 Lotus Plus', 's4513 Luna II', 'SL5560 Maverick Pro', 's5021 Wave Pro', 's5019 Wave', 's4008 Leo V', 'Sl5200 Eclipse', 'sl5050 Phantom', 's6004 Cyprus Jr.', 's5524 Maverick III Jr.', 's5525 Maverick III', 's4007 Leo IV', 's6005 Cyprus II', 's5530 Maverick II', 's5030 Helix II', 'SL5011 Spark LTE', 'SL6010 Cyprus LTE', 's5025 Helix', 's5020 Giant', 's5001 Lotus', 'SL4502 Fusion II', 'SL5550 Maverick LTE', 's5518Q Maverick']"
Maxwest,"['Nitro 55M', 'Nitro 55 LTE', 'Nitro 5M', 'Astro 5s', 'Gravity 5 LTE', 'Astro X4', 'Astro X55', 'Vice', 'Gravity 5.5 LTE', 'Gravity 5', 'Astro 6', 'Astro X5', 'Astro 3.5', 'Blade', 'Nitro 5', 'Astro 4.5', 'Nitro Phablet 71', 'Nitro 5.5', 'Astro 5', 'MX-110', 'Astro 4', 'Astro JR', 'Virtue Z5', 'Gravity 5.5', 'Gravity 6', 'Orbit 330G', 'Orbit 6200T', 'Android 330', 'MX-210TV', 'Android 320', 'Orbit 6200', 'Orbit 5400T', 'Orbit 4400', 'Orbit 3000', 'Orbit X50', 'Orbit Z50', 'Orbit 5400', 'Orbit 4600', 'MX-200TV']"
Plum,"['Axe 4', 'Compass LTE', 'Gator 4', 'Phantom', 'Ram 6', 'Ram 7 - 3G', 'Play', 'Compass', 'Hero', 'Gator 3', 'Axe Plus 2', 'Ram 4', 'Star', 'Might Plus II', 'Axe LTE', 'Check LTE', 'Boot 2', 'Ram 3G', 'Sync 4.0b', 'Gator Plus II', 'Ram Plus', 'Coach Pro', 'Trigger Plus III', 'Might LTE', 'Sync 5.0', 'Sync 4.0', 'Sync 3.5', 'Might Pro', 'Coach Plus II', 'Trigger Plus', 'Trigger Pro', 'Gator', 'Coach Plus', 'Pilot Plus', 'Might Plus']"
